customer_id,ts,promo_code_type
6ed502a7f88c42912eaa67d5eb3736be64d8aecd,2022-03-05 19:46:08.413,
903667e45c2361fa636b7c973c9553e3a32d2a97,2022-03-04 08:47:24.021,
ede033bf510f041356cadf8d1519c53e4e14b63b,2022-03-04 10:15:16.759,3_for_50_percentage
972e51ca2ea46d416dc6ae62c877e82e8f3f6fdd,2022-03-05 14:17:03.615,3_for_30_percentage
f34eb135e0c77832e3757655813b0270bbbb4f56,2022-03-04 16:30:07.409,
17740d6fe1fb0a72abc5f6e53d4e917db1d3aeeb,2022-03-03 20:41:02.388,
aa6723b33ae8576b76cce604e280f91f6a4f18b2,2022-03-05 18:37:22.564,
dda37886702b3da0d886b4319098d07beb13d3ea,2022-03-03 21:01:36.306,
4419bfcf13d66cb57380b559cee35ce02fdbab6a,2022-03-04 19:07:24.912,
cafec165b89689003e79b8fdfd817f6c36db1dd6,2022-03-04 15:30:29.529,
c908ea39102b8ee7bdece81b0722144ee674467d,2022-03-05 10:02:14.083,3_for_50_percentage
be123134a756e9b97b15a357c60e84f2c89091b9,2022-03-04 20:40:10.047,
37f0037816d7db2e458d1bf57c653355001bf28b,2022-03-04 12:51:05.322,
e2142f53627843e00e224d49b1b23132e7dd6ed6,2022-03-05 08:13:04.903,
554fe4d6863fb2232cf0bf2838e0d08b3390ebf8,2022-03-05 18:41:15.742,
5078e37f180d3e41f0b19b334eef2bec27efaca6,2022-03-04 18:34:52.537,3_for_10_fixed
e2d1ce7be794be8ba29a4bdc5ad87ecaebc59fd6,2022-03-05 08:55:12.441,
b381f231a27565164a3f0e794dab76514373f148,2022-03-03 20:12:36.652,3_for_30_percentage
c29b9bf29045cca478aaf3c22df822bacae93bfc,2022-03-05 12:08:54.411,other_fixed_15
e73312c9727491f4b41b875df266b876294edc7f,2022-03-04 19:37:18.042,
47e4ad2734cff47cd452e06e9276d08c0b1ffc67,2022-03-04 22:52:07.895,3_for_50_percentage
47e4ad2734cff47cd452e06e9276d08c0b1ffc67,2022-03-03 22:10:51.822,3_for_50_percentage
00c4324e125d049b72afa165283182069615a573,2022-03-05 12:07:16.841,
ece077d1c5c10dbc673dfdfc836cbc8c95d4ee4a,2022-03-04 11:40:22.291,
ab47c5b205381ab99a7609dec431692fbcc44eee,2022-03-04 11:00:28.304,3_for_30_percentage
395d65f2fbc83594f557d3bdd7b10f17d79c9e6e,2022-03-05 10:58:05.798,
7fc1244a3afa91cc5422d7aab6226258bc2c49e1,2022-03-03 19:41:17.442,
dd5e66b968dbf89f196420d38ab47cea3552140c,2022-03-05 21:48:18.119,3_for_30_percentage
2da4c8a817f3875b2d46757752d37a5bb8fbf19c,2022-03-04 21:08:15.663,3_for_30_percentage
d270c00f2924d1e1f630da24f63d85edabb23778,2022-03-03 17:51:23.826,
511d260d7ec20286d98367a063396178a6f65028,2022-03-04 18:47:18.470,3_for_30_percentage
fa7daffd26ec5e3ad79f89be06ba17ff6c0294eb,2022-03-05 10:49:17.610,
fa7daffd26ec5e3ad79f89be06ba17ff6c0294eb,2022-03-04 10:05:01.780,
24a9175630fb65f86a7b11bf241c661cc37b860f,2022-03-03 20:30:00.568,
85e94ea87d722c8c189a4c9b6e14a82e0b0cab28,2022-03-05 11:37:15.478,
7cc84d78a554004a43a050f91bcc68bfc190b4b6,2022-03-04 18:52:29.986,3_for_30_percentage
86019530ddc711f0675c9bbb0d1e011dd1fceb6e,2022-03-04 21:31:36.332,3_for_30_percentage
dad71b58c45b71a3d21ef26964e4b182c214fd6e,2022-03-05 17:33:57.991,3_for_50_percentage
bc9b0e7cab50a49e001f500bbded83518b767b92,2022-03-04 20:00:46.051,3_for_10_fixed
af6bc7800dd89fe0182c6018bac8f6c14c6b6d78,2022-03-05 18:00:34.600,
af75217d1c132d4130a97d7b92ddabdb90c43dff,2022-03-05 15:28:22.021,3_for_30_percentage
8ef46909b598954b03a470419f2d360e9196fc97,2022-03-05 13:02:00.027,3_for_30_percentage
